2017 CAI View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Puerto Rico Only,Part C FAC,Part D MA-PD FAC,Part D PDP FAC,Overall FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2001,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",No,A,A,N/A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2012,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,No,I,B,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2029,"Humana Insurance of Puerto Rico, Inc.","HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Yes,H,D,N/A,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2034,Community Care,"COMMUNITY CARE HEALTH PLAN, INC.","Community Care, Inc.",No,K,G,N/A,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2108,Cigna-HealthSpring,"BRAVO HEALTH MID-ATLANTIC, INC.",CIGNA,No,I,E,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2150,Kaiser Permanente,KAISER FNDN HP OF THE MID-ATLANTIC STS,"Kaiser Foundation Health Plan, Inc.",No,C,A,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2161,Upper Peninsula Health Plan,"UPPER PENINSULA HEALTH PLAN, LLC","DLP Marquette General Hospital, LLC",No,I,E,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2165,Cigna-HealthSpring,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",CIGNA,No,I,E,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2168,VillageCareMAX,VILLAGE SENIOR SERVICES CORPORATION,"Village Care of New York, Inc.",No,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2171,Care N' Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",North Texas Specialty Physicians,No,I,E,N/A,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2174,Trillium Medicare Advantage,TRILLIUM COMMUNITY HEALTH PLAN,Centene Corporation,No,J,F,N/A,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2185,LifeWorks Advantage (HMO SNP),"LIFEWORKS ADVANTAGE, LLC","MFA Lifeworks, LLC",No,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2224,Senior Whole Health,"SENIOR WHOLE HEALTH, LLC","SWH Holdings, Inc.",No,H,C,N/A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
