2018 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,SNP,2018 Part C Summary,2018 Part D Summary,2018 Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1608,Local CCP,Coventry Health Care,Coventry Health And Life Insurance Company,Aetna Inc.,No,4,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1609,Local CCP,Coventry Health Care,Aetna Health Inc. (fl),Aetna Inc.,Yes,3.5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1610,Local CCP,Aetna Better Health of Virginia,"Aetna Better Health, Inc. (va)",Aetna Inc.,Yes,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1651,1876 Cost,"Medical Associates Health Plan, Inc.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",No,4.5,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1659,Local CCP,Piedmont Medicare Advantage,"Piedmont Community Healthcare, Inc.",Piedmont Community Health Plan,No,3,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1660,Local CCP,"Harvard Pilgrim Health Care, Inc.",Harvard Pilgrim Health Care Inc.,"Harvard Pilgrim Health Care, Inc.",No,3.5,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1664,Local CCP,Allwell,"Home State Health Plan, Inc.",Centene Corporation,No,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1666,Local CCP,Blue Cross Blue Shield of Texas,Hcsc Insurance Services Company,Health Care Service Corporation,No,2.5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1692,Local CCP,Coventry Health Care,"Coventry Health Care Of West Virginia, Inc.",Aetna Inc.,No,3.5,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1723,Demo,Absolute Total Care,"Absolute Total Care, Inc.",Centene Corporation,No,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
